RowIndex,TimestampMs,PpgGreen,PpgRed,PpgIr,AccX,AccY,AccZ,HeartRate,IBI_ms
Row 12 | Timestamp: 1710832208813 ms | PPG(Green=2216516, Red=2216516, Ir=2216516) | ACC(X=-0.0934071913361549, Y=0.855035066604614, Z=9.73350811004639) | HR=89 bpm | IBI=845 ms | Participant=P04
Row 13 | Timestamp: 1710832208853 ms | PPG(Green=2218597, Red=2218597, Ir=2218597) | ACC(X=-0.0862220227718353, Y=1.12088632583618, Z=9.91313743591309) | HR=87 bpm | IBI=872 ms | Participant=P04
Row 14 | Timestamp: 1710832208894 ms | PPG(Green=2221006, Red=2221006, Ir=2221006) | ACC(X=-0.138913258910179, Y=0.962812602519989, Z=9.72871780395508) | HR=86 bpm | IBI=779 ms | Participant=P04
Row 15 | Timestamp: 1710832208933 ms | PPG(Green=2223759, Red=2223759, Ir=2223759) | ACC(X=-0.098197303712368, Y=0.859825193881989, Z=9.79578018188477) | HR=84 bpm | IBI=763 ms | Participant=P04
Row 291 | Timestamp: 1710832220007 ms | PPG(Green=2050134, Red=2050134, Ir=2050134) | ACC(X=0.730492115020752, Y=-1.90885972976685, Z=9.58980464935303) | HR=76 bpm | IBI=854 ms | Participant=P04
Row 12 | Timestamp: 1710832208813 ms | PPG(Green=2216516, Red=2216516, Ir=2216516) | ACC(X=-0.0934071913361549, Y=0.855035066604614, Z=9.73350811004639) | HR=89 bpm | IBI=845 ms | Participant=P04
Row 13 | Timestamp: 1710832208853 ms | PPG(Green=2218597, Red=2218597, Ir=2218597) | ACC(X=-0.0862220227718353, Y=1.12088632583618, Z=9.91313743591309) | HR=87 bpm | IBI=872 ms | Participant=P04
Row 14 | Timestamp: 1710832208894 ms | PPG(Green=2221006, Red=2221006, Ir=2221006) | ACC(X=-0.138913258910179, Y=0.962812602519989, Z=9.72871780395508) | HR=86 bpm | IBI=779 ms | Participant=P04
Row 15 | Timestamp: 1710832208933 ms | PPG(Green=2223759, Red=2223759, Ir=2223759) | ACC(X=-0.098197303712368, Y=0.859825193881989, Z=9.79578018188477) | HR=84 bpm | IBI=763 ms | Participant=P04
Row 291 | Timestamp: 1710832220007 ms | PPG(Green=2050134, Red=2050134, Ir=2050134) | ACC(X=0.730492115020752, Y=-1.90885972976685, Z=9.58980464935303) | HR=76 bpm | IBI=854 ms | Participant=P04
